duration,title,album,image_200,image_400,image_800,shortUrl,contentLang,release_date,gaana_id,provider,singers
314,Teri Mitti,Kesari,https://a10.gaanacdn.com/gn_img/song/jBr3gybR1m/r3gm60p9bR/size_m_1552640726.jpg,https://a10.gaanacdn.com/gn_img/song/jBr3gybR1m/r3gm60p9bR/size_l_1552640726.jpg,https://a10.gaanacdn.com/gn_img/song/jBr3gybR1m/r3gm60p9bR/size_xl_1552640726.jpg,https://gaana.com/song/teri-mitti,hi,"Mar 15, 2019",25734635,gaana,{'B Praak'}
214,Mafiyaan,Mafiyaan,https://a10.gaanacdn.com/gn_img/albums/0wrb4kNWLg/wrb4goDNWL/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/0wrb4kNWLg/wrb4goDNWL/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/0wrb4kNWLg/wrb4goDNWL/size_m.jpg,https://gaana.com/song/mafiyaan,hi,"Jun 06, 2019",27007374,gaana,"{'Prakriti Kakar', 'Sukriti Kakar', 'Mellow D'}"
256,Dil Royi Jaye,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/qaLKY623pO/LKY9gmazKp/size_m_1557842238.jpg,https://a10.gaanacdn.com/gn_img/song/qaLKY623pO/LKY9gmazKp/size_l_1557842238.jpg,https://a10.gaanacdn.com/gn_img/song/qaLKY623pO/LKY9gmazKp/size_xl_1557842238.jpg,https://gaana.com/song/dil-royi-jaye-1,hi,"May 14, 2019",26610884,gaana,{'Arijit Singh'}
311,Kalank - Title Track,Kalank,https://a10.gaanacdn.com/gn_img/song/YoEWlabzXB/EWlqaVYybz/size_m_1554023214.jpg,https://a10.gaanacdn.com/gn_img/song/YoEWlabzXB/EWlqaVYybz/size_l_1554023214.jpg,https://a10.gaanacdn.com/gn_img/song/YoEWlabzXB/EWlqaVYybz/size_xl_1554023214.jpg,https://gaana.com/song/kalank-title-track,hi,"Mar 31, 2019",25876039,gaana,{'Arijit Singh'}
160,Apna Time Aayega,Gully Boy,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36VG07v3r/size_m_1547446909.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36VG07v3r/size_l_1547446909.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36VG07v3r/size_xl_1547446909.jpg,https://gaana.com/song/apna-time-aayega,hi,"Jan 24, 2019",25269268,gaana,{'Ranveer Singh'}
189,Jatt Ludhiyane Da,Student Of The Year 2,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_m_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_l_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_xl_1556260843.jpg,https://gaana.com/song/jat-ludhiyane-da,hi,"Apr 26, 2019",26194460,gaana,"{'Payal Dev', 'Vishal Shekhar', 'Vishal Dadlani'}"
217,Teri Mitti - Female Version,Kesari,https://a10.gaanacdn.com/gn_img/song/koMWQBbqLE/MWQB21BAbq/size_m_1555403817.jpg,https://a10.gaanacdn.com/gn_img/song/koMWQBbqLE/MWQB21BAbq/size_l_1555403817.jpg,https://a10.gaanacdn.com/gn_img/song/koMWQBbqLE/MWQB21BAbq/size_xl_1555403817.jpg,https://gaana.com/song/teri-mitti-female-version,hi,"Apr 15, 2019",25954306,gaana,{'Parineeti Chopra'}
276,Tujhe Kitna Chahein Aur (Film Version),Kabir Singh,https://a10.gaanacdn.com/gn_img/song/mGjKr1b6zX/jKrmZvAJb6/size_m_1560502375.jpg,https://a10.gaanacdn.com/gn_img/song/mGjKr1b6zX/jKrmZvAJb6/size_l_1560502375.jpg,https://a10.gaanacdn.com/gn_img/song/mGjKr1b6zX/jKrmZvAJb6/size_xl_1560502375.jpg,https://gaana.com/song/tujhe-kitna-chahein-aur-film-version,hi,"Jun 14, 2019",27136615,gaana,{'Jubin Nautiyal'}
273,Pehla Pyaar,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/9MAWe7KyJe/AWeVjnQjby/size_m_1560502331.jpg,https://a10.gaanacdn.com/gn_img/song/9MAWe7KyJe/AWeVjnQjby/size_l_1560502331.jpg,https://a10.gaanacdn.com/gn_img/song/9MAWe7KyJe/AWeVjnQjby/size_xl_1560502331.jpg,https://gaana.com/song/pehla-pyaar-8,hi,"Jun 14, 2019",27136614,gaana,{'Armaan Malik'}
274,Jugraafiya,Super 30,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36Lw5lvbr/size_m_1560534809.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36Lw5lvbr/size_l_1560534809.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36PvbrG/p36Lw5lvbr/size_xl_1560534809.jpg,https://gaana.com/song/jugraafiya,hi,"Jun 15, 2019",27144768,gaana,"{'Udit Narayan', 'Shreya Ghoshal'}"
